level,datetime
DEBUG,2016-7-21 11:55:30
DEBUG,2016-10-25 06:45:38
FATAL,2012-11-11 22:48:35
DEBUG,2013-3-17 18:31:56
INFO,2013-4-8 03:39:58
INFO,2015-12-26 18:01:03
INFO,2016-7-3 10:22:46
FATAL,2012-11-21 17:41:45
DEBUG,2015-6-26 02:02:58
INFO,2013-12-26 07:47:29
WARN,2014-5-15 04:47:25
INFO,2016-3-10 19:46:00
DEBUG,2015-6-21 13:45:18
INFO,2014-9-8 17:41:43
INFO,2013-2-6 05:49:44
INFO,2016-8-16 20:17:40
DEBUG,2014-3-27 20:09:51
DEBUG,2013-10-15 17:04:38
FATAL,2014-7-25 18:53:05
INFO,2017-4-7 19:58:57
INFO,2014-1-14 14:45:07
DEBUG,2013-5-25 00:22:14
DEBUG,2015-3-18 03:19:32
INFO,2012-7-15 02:30:55
ERROR,2016-10-10 18:07:03
INFO,2012-4-20 00:46:45
DEBUG,2013-11-26 10:43:07
DEBUG,2014-8-24 17:13:42
DEBUG,2017-1-3 00:14:46
DEBUG,2017-9-26 00:10:41
INFO,2017-10-18 22:46:32
DEBUG,2015-6-26 08:01:50
WARN,2017-9-16 09:58:33
INFO,2017-7-23 01:29:43
INFO,2016-3-25 18:38:29
WARN,2013-5-25 19:37:27
INFO,2015-10-26 07:38:16
FATAL,2017-11-27 04:04:22
ERROR,2016-4-27 17:00:48
INFO,2012-2-26 22:27:35
DEBUG,2014-12-13 15:51:57
DEBUG,2014-2-21 22:27:27
INFO,2017-2-12 09:48:31
ERROR,2016-11-13 22:47:46
DEBUG,2017-2-5 16:19:13
INFO,2014-8-23 21:43:30
WARN,2014-8-21 09:17:20
DEBUG,2015-2-26 03:59:59
FATAL,2015-11-7 23:43:08
INFO,2013-12-10 00:24:45
DEBUG,2015-10-6 05:11:28
WARN,2013-8-15 21:43:39
DEBUG,2017-4-6 19:12:16
INFO,2014-11-2 06:36:14
DEBUG,2012-7-26 08:39:07
INFO,2013-10-9 16:09:40
DEBUG,2017-12-23 22:54:28
WARN,2013-6-26 20:31:51
DEBUG,2017-11-26 20:26:46
DEBUG,2016-7-20 03:20:56
INFO,2013-6-1 08:56:15
INFO,2014-5-12 20:31:24
INFO,2013-9-26 17:32:07
INFO,2017-12-21 07:34:25
DEBUG,2015-8-27 18:04:27
INFO,2015-10-5 22:43:07
DEBUG,2016-11-23 17:31:44
INFO,2012-11-13 03:24:56
DEBUG,2016-6-4 00:30:43
INFO,2016-6-16 19:28:54
FATAL,2015-11-17 16:42:52
DEBUG,2017-4-23 11:47:21
DEBUG,2017-11-9 01:02:51
INFO,2015-7-6 10:20:05
FATAL,2012-11-28 17:39:43
DEBUG,2015-7-14 22:58:53
INFO,2014-8-16 08:27:23
INFO,2015-3-3 09:28:46
INFO,2015-4-6 23:00:45
DEBUG,2012-3-16 05:28:37
DEBUG,2015-1-7 13:59:20
DEBUG,2017-12-8 06:11:02
DEBUG,2016-12-1 02:57:57
DEBUG,2016-10-2 06:53:01
INFO,2017-5-26 15:17:24
INFO,2015-1-8 10:48:19
DEBUG,2014-11-13 17:03:04
DEBUG,2016-10-12 22:52:15
INFO,2012-8-14 14:47:30
WARN,2013-8-2 23:18:20
INFO,2014-3-13 21:00:20
DEBUG,2014-7-1 17:05:01
DEBUG,2015-2-2 21:34:36
INFO,2013-5-22 21:47:35
INFO,2015-11-12 11:58:39
FATAL,2014-11-17 12:49:27
DEBUG,2015-7-12 03:07:00
DEBUG,2014-8-27 11:51:15
WARN,2014-5-3 19:24:17
INFO,2015-6-7 04:48:28
DEBUG,2017-8-15 23:36:23
WARN,2014-6-15 06:07:57
DEBUG,2015-1-20 03:09:57
DEBUG,2017-1-24 03:05:03
DEBUG,2013-11-4 10:05:47
ERROR,2017-11-24 09:00:46
DEBUG,2016-2-17 17:15:05
DEBUG,2016-9-9 14:37:54
DEBUG,2017-6-1 08:40:06
DEBUG,2016-11-20 00:55:18
DEBUG,2014-3-26 17:46:48
DEBUG,2015-3-12 12:19:17
INFO,2017-10-25 06:49:56
INFO,2014-8-3 20:48:19
DEBUG,2014-11-28 21:52:41
WARN,2012-11-3 12:03:42
INFO,2014-2-28 08:27:30
INFO,2013-12-9 08:41:33
DEBUG,2015-4-21 01:00:19
FATAL,2012-11-22 05:46:45
DEBUG,2013-10-18 10:33:22
WARN,2016-2-18 05:34:41
DEBUG,2016-6-3 17:30:01
INFO,2012-4-11 09:40:24
WARN,2012-4-5 19:55:18
DEBUG,2016-3-22 02:45:37
ERROR,2013-5-25 08:52:21
INFO,2014-12-12 13:23:09
DEBUG,2015-10-19 01:08:15
INFO,2015-5-28 15:16:07
DEBUG,2013-3-4 13:16:52
WARN,2015-4-8 20:57:32
DEBUG,2017-4-26 06:25:37
DEBUG,2017-5-12 05:39:46
INFO,2017-12-18 04:30:36
ERROR,2013-10-18 04:56:16
DEBUG,2012-12-12 09:55:05
INFO,2014-2-27 16:50:36
DEBUG,2013-10-10 09:52:59
DEBUG,2012-6-14 15:09:09
INFO,2017-2-1 20:19:10
DEBUG,2012-12-28 06:39:28
DEBUG,2013-11-18 14:43:13
INFO,2013-1-14 18:19:53
INFO,2017-2-26 14:52:37
DEBUG,2014-12-27 09:27:50
DEBUG,2015-2-4 17:34:36
DEBUG,2013-11-9 20:17:30
DEBUG,2013-3-16 19:24:19
INFO,2015-4-22 12:18:00
DEBUG,2016-1-12 22:38:20
INFO,2013-9-28 19:37:12
DEBUG,2012-12-20 19:02:09
DEBUG,2015-2-22 18:42:39
FATAL,2012-11-6 18:52:41
INFO,2017-5-26 12:29:39
DEBUG,2017-12-22 04:21:45
INFO,2016-8-25 14:13:19
FATAL,2013-11-15 15:59:10
WARN,2015-4-28 15:24:14
DEBUG,2016-9-16 11:00:27
INFO,2015-1-13 10:57:46
DEBUG,2013-4-15 22:01:53
DEBUG,2014-4-22 04:06:22
DEBUG,2017-2-14 14:36:49
DEBUG,2017-2-13 14:24:13
INFO,2014-9-18 07:41:06
DEBUG,2017-8-24 21:32:28
INFO,2013-4-23 15:04:03
DEBUG,2013-9-28 10:45:43
WARN,2015-9-25 07:18:55
INFO,2017-5-16 06:42:32
WARN,2015-12-16 16:21:03
DEBUG,2013-5-9 14:25:26
DEBUG,2012-1-4 01:17:40
INFO,2013-12-2 02:11:10
DEBUG,2016-3-22 18:44:34
WARN,2016-6-18 04:52:26
DEBUG,2012-4-3 14:52:16
DEBUG,2017-4-9 11:52:52
INFO,2013-6-22 11:55:03
INFO,2015-8-23 07:04:41
DEBUG,2017-11-14 00:07:50
WARN,2012-5-28 18:12:31
DEBUG,2014-5-23 21:05:40
DEBUG,2014-7-26 18:14:26
DEBUG,2016-2-18 17:17:10
INFO,2015-10-19 07:11:11
ERROR,2014-3-10 17:00:48
INFO,2016-2-4 00:21:51
INFO,2015-11-16 16:12:57
DEBUG,2013-9-8 17:10:22
DEBUG,2015-9-25 08:32:31
INFO,2012-7-7 05:42:42
INFO,2015-3-1 11:57:38
WARN,2017-2-9 02:10:11
DEBUG,2016-6-12 11:17:14
INFO,2016-6-1 05:40:30
INFO,2012-2-14 14:29:28
INFO,2014-8-12 10:18:59
DEBUG,2017-9-12 14:36:37
INFO,2015-1-18 05:13:52
WARN,2014-5-22 07:03:28
DEBUG,2017-8-27 14:28:08
INFO,2012-6-14 02:30:28
DEBUG,2015-2-9 14:54:27
DEBUG,2012-1-27 16:58:17
INFO,2013-3-28 10:55:30
FATAL,2015-11-1 18:01:37
INFO,2017-4-24 05:27:11
FATAL,2016-11-3 11:47:31
INFO,2016-3-14 23:28:22
DEBUG,2016-9-10 15:59:14
DEBUG,2012-10-8 22:23:24
ERROR,2014-3-12 22:52:11
INFO,2013-4-24 19:41:58
INFO,2017-10-11 22:31:10
WARN,2013-10-12 20:42:06
DEBUG,2017-10-20 07:54:34
DEBUG,2015-3-28 21:33:02
WARN,2012-2-15 22:40:39
DEBUG,2014-11-8 05:25:51
DEBUG,2015-3-15 20:03:19
INFO,2014-5-9 01:22:23
INFO,2016-5-19 14:29:10
INFO,2013-6-22 03:50:02
INFO,2014-2-22 10:19:31
INFO,2012-2-20 03:11:39
INFO,2015-6-2 18:26:19
INFO,2015-10-14 12:34:18
INFO,2014-9-23 22:17:11
DEBUG,2017-8-2 11:22:54
WARN,2015-1-9 12:16:06
DEBUG,2016-6-17 06:44:39
DEBUG,2016-7-17 10:47:59
INFO,2016-9-9 02:04:22
DEBUG,2016-8-25 09:34:40
INFO,2012-4-6 14:55:06
INFO,2013-2-23 19:29:07
ERROR,2012-7-24 20:36:10
INFO,2012-3-28 02:00:30
INFO,2012-5-17 23:25:06
WARN,2016-11-2 19:40:42
DEBUG,2012-10-12 12:41:45
INFO,2017-7-24 08:54:49
INFO,2014-3-18 18:01:02
DEBUG,2012-3-8 01:03:48
WARN,2015-4-17 18:04:14
INFO,2017-3-26 09:31:20
DEBUG,2016-4-17 07:11:20
INFO,2014-12-18 20:10:08
INFO,2012-1-11 19:40:42
DEBUG,2017-6-11 04:21:47
INFO,2017-6-27 16:09:19
INFO,2016-8-24 15:12:22
INFO,2016-10-15 18:04:56
ERROR,2014-12-8 06:19:51
DEBUG,2015-8-4 13:56:12
INFO,2012-12-26 05:06:14
INFO,2017-3-25 04:36:30
DEBUG,2017-1-2 00:54:26
DEBUG,2013-7-15 09:27:50
INFO,2016-2-22 03:58:36
DEBUG,2016-7-20 11:12:00
INFO,2016-3-12 19:53:00
WARN,2015-3-9 09:21:11
DEBUG,2016-9-22 20:47:38
DEBUG,2013-7-14 06:29:34
DEBUG,2016-11-1 20:38:48
INFO,2015-2-13 00:39:58
INFO,2014-5-24 02:59:48
INFO,2017-6-12 12:06:35
INFO,2016-4-4 18:56:26
WARN,2015-4-18 05:32:40
INFO,2017-4-16 13:33:18
DEBUG,2013-4-25 09:33:17
INFO,2017-10-15 09:24:12
DEBUG,2014-10-13 20:25:20
INFO,2016-11-19 08:24:04
DEBUG,2015-4-20 00:42:09
DEBUG,2012-6-19 06:31:37
INFO,2015-6-23 18:24:22
DEBUG,2016-6-7 07:26:41
DEBUG,2016-4-25 19:55:57
INFO,2013-4-7 09:33:19
DEBUG,2012-7-12 02:06:45
DEBUG,2016-9-5 08:18:57
FATAL,2017-11-25 10:08:56
INFO,2013-6-3 05:12:45
DEBUG,2015-2-8 04:21:30
INFO,2016-5-23 15:27:37
ERROR,2017-7-6 10:48:30
INFO,2015-7-1 15:31:49
DEBUG,2016-6-23 17:35:59
DEBUG,2012-12-4 16:42:17
DEBUG,2014-2-23 07:43:43
FATAL,2017-11-11 14:22:11
DEBUG,2017-10-17 19:27:58
DEBUG,2012-2-15 18:50:06
DEBUG,2014-7-3 11:59:59
INFO,2014-4-23 00:31:37
DEBUG,2017-9-1 13:34:09
INFO,2017-12-18 08:08:16
INFO,2016-11-26 05:06:14
DEBUG,2015-8-10 05:26:58
DEBUG,2016-7-21 11:55:30
DEBUG,2016-10-25 06:45:38
FATAL,2012-11-11 22:48:35
DEBUG,2013-3-17 18:31:56
INFO,2013-4-8 03:39:58
INFO,2015-12-26 18:01:03
INFO,2016-7-3 10:22:46
FATAL,2012-11-21 17:41:45
DEBUG,2015-6-26 02:02:58
INFO,2013-12-26 07:47:29
WARN,2014-5-15 04:47:25
INFO,2016-3-10 19:46:00
DEBUG,2015-6-21 13:45:18
INFO,2014-9-8 17:41:43
INFO,2013-2-6 05:49:44
INFO,2016-8-16 20:17:40
DEBUG,2014-3-27 20:09:51
DEBUG,2013-10-15 17:04:38
FATAL,2014-7-25 18:53:05
INFO,2017-4-7 19:58:57
INFO,2014-1-14 14:45:07
DEBUG,2013-5-25 00:22:14
DEBUG,2015-3-18 03:19:32
INFO,2012-7-15 02:30:55
ERROR,2016-10-10 18:07:03
INFO,2012-4-20 00:46:45
DEBUG,2013-11-26 10:43:07
DEBUG,2014-8-24 17:13:42
DEBUG,2017-1-3 00:14:46
DEBUG,2017-9-26 00:10:41
INFO,2017-10-18 22:46:32
DEBUG,2015-6-26 08:01:50
WARN,2017-9-16 09:58:33
INFO,2017-7-23 01:29:43
INFO,2016-3-25 18:38:29
WARN,2013-5-25 19:37:27
INFO,2015-10-26 07:38:16
FATAL,2017-11-27 04:04:22
ERROR,2016-4-27 17:00:48
INFO,2012-2-26 22:27:35
DEBUG,2014-12-13 15:51:57
DEBUG,2014-2-21 22:27:27
INFO,2017-2-12 09:48:31
ERROR,2016-11-13 22:47:46
DEBUG,2017-2-5 16:19:13
INFO,2014-8-23 21:43:30
WARN,2014-8-21 09:17:20
DEBUG,2015-2-26 03:59:59
FATAL,2015-11-7 23:43:08
INFO,2013-12-10 00:24:45
DEBUG,2015-10-6 05:11:28
WARN,2013-8-15 21:43:39
DEBUG,2017-4-6 19:12:16
INFO,2014-11-2 06:36:14
DEBUG,2012-7-26 08:39:07
INFO,2013-10-9 16:09:40
DEBUG,2017-12-23 22:54:28
WARN,2013-6-26 20:31:51
DEBUG,2017-11-26 20:26:46
DEBUG,2016-7-20 03:20:56
INFO,2013-6-1 08:56:15
INFO,2014-5-12 20:31:24
INFO,2013-9-26 17:32:07
INFO,2017-12-21 07:34:25
DEBUG,2015-8-27 18:04:27
INFO,2015-10-5 22:43:07
DEBUG,2016-11-23 17:31:44
INFO,2012-11-13 03:24:56
DEBUG,2016-6-4 00:30:43
INFO,2016-6-16 19:28:54
FATAL,2015-11-17 16:42:52
DEBUG,2017-4-23 11:47:21
DEBUG,2017-11-9 01:02:51
INFO,2015-7-6 10:20:05
FATAL,2012-11-28 17:39:43
DEBUG,2015-7-14 22:58:53
INFO,2014-8-16 08:27:23
INFO,2015-3-3 09:28:46
INFO,2015-4-6 23:00:45
DEBUG,2012-3-16 05:28:37
DEBUG,2015-1-7 13:59:20
DEBUG,2017-12-8 06:11:02
DEBUG,2016-12-1 02:57:57
DEBUG,2016-10-2 06:53:01
INFO,2017-5-26 15:17:24
INFO,2015-1-8 10:48:19
DEBUG,2014-11-13 17:03:04
DEBUG,2016-10-12 22:52:15
INFO,2012-8-14 14:47:30
WARN,2013-8-2 23:18:20
INFO,2014-3-13 21:00:20
DEBUG,2014-7-1 17:05:01
DEBUG,2015-2-2 21:34:36
INFO,2013-5-22 21:47:35
INFO,2015-11-12 11:58:39
FATAL,2014-11-17 12:49:27
DEBUG,2015-7-12 03:07:00
DEBUG,2014-8-27 11:51:15
WARN,2014-5-3 19:24:17
INFO,2015-6-7 04:48:28
DEBUG,2017-8-15 23:36:23
WARN,2014-6-15 06:07:57
DEBUG,2015-1-20 03:09:57
DEBUG,2017-1-24 03:05:03
DEBUG,2013-11-4 10:05:47
ERROR,2017-11-24 09:00:46
DEBUG,2016-2-17 17:15:05
DEBUG,2016-9-9 14:37:54
DEBUG,2017-6-1 08:40:06
DEBUG,2016-11-20 00:55:18
DEBUG,2014-3-26 17:46:48
DEBUG,2015-3-12 12:19:17
INFO,2017-10-25 06:49:56
INFO,2014-8-3 20:48:19
DEBUG,2014-11-28 21:52:41
WARN,2012-11-3 12:03:42
INFO,2014-2-28 08:27:30
INFO,2013-12-9 08:41:33
DEBUG,2015-4-21 01:00:19
FATAL,2012-11-22 05:46:45
DEBUG,2013-10-18 10:33:22
WARN,2016-2-18 05:34:41
DEBUG,2016-6-3 17:30:01
INFO,2012-4-11 09:40:24
WARN,2012-4-5 19:55:18
DEBUG,2016-3-22 02:45:37
ERROR,2013-5-25 08:52:21
INFO,2014-12-12 13:23:09
DEBUG,2015-10-19 01:08:15
INFO,2015-5-28 15:16:07
DEBUG,2013-3-4 13:16:52
WARN,2015-4-8 20:57:32
DEBUG,2017-4-26 06:25:37
DEBUG,2017-5-12 05:39:46
INFO,2017-12-18 04:30:36
ERROR,2013-10-18 04:56:16
DEBUG,2012-12-12 09:55:05
INFO,2014-2-27 16:50:36
DEBUG,2013-10-10 09:52:59
DEBUG,2012-6-14 15:09:09
INFO,2017-2-1 20:19:10
DEBUG,2012-12-28 06:39:28
DEBUG,2013-11-18 14:43:13
INFO,2013-1-14 18:19:53
INFO,2017-2-26 14:52:37
DEBUG,2014-12-27 09:27:50
DEBUG,2015-2-4 17:34:36
DEBUG,2013-11-9 20:17:30
DEBUG,2013-3-16 19:24:19
INFO,2015-4-22 12:18:00
DEBUG,2016-1-12 22:38:20
INFO,2013-9-28 19:37:12
DEBUG,2012-12-20 19:02:09